received_at	device_id	f_port	f_cnt	rssi	data_rate_index	consumed_airtime	frm_payload	converted_payload	Data
2025-07-01T11:58:57.682701795Z	wwt-ormstrup-buoy	1	92412	-116		0.082176s	RPBBw57tQZ613UGXVV1BlhgtQZR6zUGQYN0=	44f041c39eed419eb5dd4197555d4196182d41947acd419060dd	('ID', '68', 'Status', '240', 'T0', 24.452600479125977, 'T1', 19.83880043029785, 'T2', 18.91668128967285, 'T3', 18.761804580688477, 'T4', 18.559961318969727, 'T5', 18.04729652404785)
2025-07-01T11:59:33.386304631Z	wwt-ormstrup-buoy	1	92413	-113		0.087296s	XxD/////////////QVrZF0GVf85DWr2/QVr99A==	5f10ffffffffffffffffffff415ad91741957fce435abdbf415afdf4	('ID', '95', 'Status', '16', 'Dummy', 13.678000450134277, 'Dissolved Oxygen Concentration', 18.68740463256836, 'Dissolved Oxygen % Saturation', 218.74119567871094, 'External Voltage', 13.687000274658203)
2025-07-01T12:00:23.285062543Z	wwt-ormstrup-buoy	1	92414	-119		0.061696s	YTD//////////w==	6130ffffffffffffffff	('ID', '97', 'Status', '48', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T12:13:20.485295242Z	wwt-ormstrup-buoy	1	92415	-114		0.097536s	YFBBWmp/AAAAowAgQVpqf0Kf69f/////Ps9fkP//////////	6050415a6a7f000000a30020415a6a7f429febd7ffffffff3ecf5f90ffffffffffffffff	('ID', '96', 'Status', '80', 'Dummy', 13.651000022888184, 'Turbidity', 79.96062469482422, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.4050259590148926, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-07-01T12:14:02.189787707Z	wwt-ormstrup-buoy	1	92416	-114		0.082176s	RHBBxk2NQZ4FDUGXSj1Bli6NQZSF/UGQgJ0=	447041c64d8d419e050d41974a3d41962e8d419485fd4190809d	('ID', '68', 'Status', '112', 'T0', 24.787866592407227, 'T1', 19.752466201782227, 'T2', 18.9112491607666, 'T3', 18.772729873657227, 'T4', 18.5654239654541, 'T5', 18.06279945373535)
2025-07-01T12:14:27.649502869Z	wwt-ormstrup-buoy	1	92417	-118		0.087296s	X5D/////////////QVzdL0GjSiVDc4GKQVrZFw==	5f90ffffffffffffffffffff415cdd2f41a34a254373818a415ad917	('ID', '95', 'Status', '144', 'Dummy', 13.803999900817871, 'Dissolved Oxygen Concentration', 20.411203384399414, 'Dissolved Oxygen % Saturation', 243.50601196289062, 'External Voltage', 13.678000450134277)
2025-07-01T12:15:01.568943657Z	wwt-ormstrup-buoy	1	92418	-115		0.061696s	YbD//////////w==	61b0ffffffffffffffff	('ID', '97', 'Status', '176', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T12:28:20.427407077Z	wwt-ormstrup-buoy	1	92419	-112		0.097536s	YNBBWmp/AAAAowAgQVpqf0Iy4Tz/////PPMkI///////////	60d0415a6a7f000000a30020415a6a7f4232e13cffffffff3cf32423ffffffffffffffff	('ID', '96', 'Status', '208', 'Dummy', 13.651000022888184, 'Turbidity', 44.71995544433594, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.029680317267775536, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-07-01T12:28:47.438319987Z	wwt-ormstrup-buoy	1	92420	-116		0.082176s	RPBBxsV9QZywzUGXUc1Blj2NQZSLTUGQMu0=	44f041c6c57d419cb0cd419751cd41963d8d41948b4d419032ed	('ID', '68', 'Status', '240', 'T0', 24.8464298248291, 'T1', 19.586328506469727, 'T2', 18.914941787719727, 'T3', 18.780054092407227, 'T4', 18.568017959594727, 'T5', 18.024866104125977)
2025-07-01T12:29:19.241687814Z	wwt-ormstrup-buoy	1	92421	-114		0.087296s	XxD/////////////QVrZF0GeYOhDa0hsQVrZFw==	5f10ffffffffffffffffffff415ad917419e60e8436b486c415ad917	('ID', '95', 'Status', '16', 'Dummy', 13.678000450134277, 'Dissolved Oxygen Concentration', 19.797317504882812, 'Dissolved Oxygen % Saturation', 235.28289794921875, 'External Voltage', 13.678000450134277)
